grado,dia,hora_inicio,hora_fin,materia,profesor,link
1A,,08:00,08:45,Español,Mtra. Lucía Hernández,https://zoom.us/j/8112233445
1A,,08:45,09:30,Matemáticas,Mtro. Andrés Salinas,https://meet.google.com/abc-1ax1-xyz
1A,,09:30,10:15,Conocimiento del medio,Mtra. Paola Ríos,
1A,,10:15,11:00,Educación socioemocional,Mtra. Mariana Cervantes,https://teams.microsoft.com/l/meetup-join/19%3ameeting_abc123
1A,,11:30,12:15,Inglés,Mtro. Iván Fuentes,https://zoom.us/j/8119988776
1A,,12:15,13:00,Artes,Mtra. Daniela Ortega,
1A,,13:00,13:45,Educación física,Mtro. Roberto Vázquez,https://meet.google.com/abc-1ax7-xyz
1A,,13:45,14:25,Lectura guiada,Mtra. Sofía Domínguez,https://zoom.us/j/8113322114
6B,,08:00,08:45,Matemáticas,Mtra. Adriana López,https://zoom.us/j/8267788990
6B,,08:45,09:30,Español,Mtro. Sergio Romero,https://meet.google.com/abc-6bx1-xyz
6B,,09:30,10:15,Ciencias Naturales,Mtra. Karla Mendoza,https://teams.microsoft.com/l/meetup-join/19%3ameeting_def456
6B,,10:15,11:00,Historia,Mtra. Verónica Ibarra,
6B,,11:30,12:15,Geografía,Mtro. Óscar Treviño,https://zoom.us/j/8261122334
6B,,12:15,13:00,Formación Cívica,Mtra. Renata Cárdenas,https://meet.google.com/abc-6bx6-xyz
6B,,13:00,13:45,Inglés,Mtro. Diego Aguilar,
6B,,13:45,14:25,Computación,Mtra. Paulina Estrada,https://zoom.us/j/8268899001
